,latitude,longitude,timestamp,value,measurement,retrieved_at
213,51.7,4.9,2025-07-19T13:00:00Z,30.2,t_2m:C,2025-07-20T16:38:17Z
214,51.7,4.9,2025-07-19T14:00:00Z,30.5,t_2m:C,2025-07-20T16:38:17Z
215,51.7,4.9,2025-07-19T15:00:00Z,30.5,t_2m:C,2025-07-20T16:38:17Z
216,51.7,4.9,2025-07-19T16:00:00Z,27.3,t_2m:C,2025-07-20T16:38:17Z
217,51.7,4.9,2025-07-19T17:00:00Z,25.6,t_2m:C,2025-07-20T16:38:17Z
218,51.7,4.9,2025-07-19T18:00:00Z,26.0,t_2m:C,2025-07-20T16:38:17Z
219,51.7,4.9,2025-07-19T19:00:00Z,22.8,t_2m:C,2025-07-20T16:38:17Z
220,51.7,4.9,2025-07-19T20:00:00Z,22.0,t_2m:C,2025-07-20T16:38:17Z
221,51.7,4.9,2025-07-19T21:00:00Z,21.5,t_2m:C,2025-07-20T16:38:17Z
222,51.7,4.9,2025-07-19T22:00:00Z,20.8,t_2m:C,2025-07-20T16:38:17Z
223,51.7,4.9,2025-07-19T23:00:00Z,20.1,t_2m:C,2025-07-20T16:38:17Z
224,51.7,4.9,2025-07-20T00:00:00Z,19.4,t_2m:C,2025-07-20T16:38:17Z
225,51.7,5.1,2025-07-19T00:00:00Z,19.1,t_2m:C,2025-07-20T16:38:17Z
226,51.7,5.1,2025-07-19T01:00:00Z,18.2,t_2m:C,2025-07-20T16:38:17Z
227,51.7,5.1,2025-07-19T02:00:00Z,17.7,t_2m:C,2025-07-20T16:38:17Z
228,51.7,5.1,2025-07-19T03:00:00Z,17.2,t_2m:C,2025-07-20T16:38:17Z
229,51.7,5.1,2025-07-19T04:00:00Z,17.0,t_2m:C,2025-07-20T16:38:17Z
230,51.7,5.1,2025-07-19T05:00:00Z,17.7,t_2m:C,2025-07-20T16:38:17Z
231,51.7,5.1,2025-07-19T06:00:00Z,19.1,t_2m:C,2025-07-20T16:38:17Z
232,51.7,5.1,2025-07-19T07:00:00Z,21.4,t_2m:C,2025-07-20T16:38:17Z
233,51.7,5.1,2025-07-19T08:00:00Z,23.3,t_2m:C,2025-07-20T16:38:17Z
234,51.7,5.1,2025-07-19T09:00:00Z,25.1,t_2m:C,2025-07-20T16:38:17Z
235,51.7,5.1,2025-07-19T10:00:00Z,26.6,t_2m:C,2025-07-20T16:38:17Z
236,51.7,5.1,2025-07-19T11:00:00Z,28.5,t_2m:C,2025-07-20T16:38:17Z
237,51.7,5.1,2025-07-19T12:00:00Z,29.3,t_2m:C,2025-07-20T16:38:17Z
238,51.7,5.1,2025-07-19T13:00:00Z,29.9,t_2m:C,2025-07-20T16:38:17Z
239,51.7,5.1,2025-07-19T14:00:00Z,30.1,t_2m:C,2025-07-20T16:38:17Z
240,51.7,5.1,2025-07-19T15:00:00Z,31.3,t_2m:C,2025-07-20T16:38:17Z
241,51.7,5.1,2025-07-19T16:00:00Z,28.5,t_2m:C,2025-07-20T16:38:17Z
242,51.7,5.1,2025-07-19T17:00:00Z,26.5,t_2m:C,2025-07-20T16:38:17Z
243,51.7,5.1,2025-07-19T18:00:00Z,26.3,t_2m:C,2025-07-20T16:38:17Z
244,51.7,5.1,2025-07-19T19:00:00Z,23.2,t_2m:C,2025-07-20T16:38:17Z
245,51.7,5.1,2025-07-19T20:00:00Z,22.4,t_2m:C,2025-07-20T16:38:17Z
246,51.7,5.1,2025-07-19T21:00:00Z,21.5,t_2m:C,2025-07-20T16:38:17Z
247,51.7,5.1,2025-07-19T22:00:00Z,20.8,t_2m:C,2025-07-20T16:38:17Z
248,51.7,5.1,2025-07-19T23:00:00Z,20.3,t_2m:C,2025-07-20T16:38:17Z
249,51.7,5.1,2025-07-20T00:00:00Z,19.6,t_2m:C,2025-07-20T16:38:17Z
250,51.7,5.3,2025-07-19T00:00:00Z,18.9,t_2m:C,2025-07-20T16:38:17Z
251,51.7,5.3,2025-07-19T01:00:00Z,18.1,t_2m:C,2025-07-20T16:38:17Z
252,51.7,5.3,2025-07-19T02:00:00Z,17.5,t_2m:C,2025-07-20T16:38:17Z
